plot,spec,hits
D3C,Cardio,101
D3C,Carnig,0
D3C,Carrup,0
D3C,Carvag,0
D3C,Castet,0
D3C,Dessp.,0
D3C,Dialap,0
D3C,Dryoct,0
D3C,Empnig,4
D3C,Equpra,0
D3C,Equsci,2
D3C,Erilat,1
D3C,Erivag,3
D3C,Eupfri,0
D3C,Fesovi,0
D3C,Hupsel,3
D3C,Juntri,0
D3C,Linbor,0
D3C,Loipro,0
D3C,Luzspi,0
D3C,Pedlap,0
D3C,Pinvul,8
D3C,Pyrsp.,0
D3C,Rholap,0
D3C,Rubcha,2
D3C,Salmyr,0
D3C,Salgla,0
D3C,Salret,0
D3C,Saualp,0
D3C,Silaca,1
D3C,Thaalp,0
D3C,Tofpus,81
D3C,Trices,505
D3C,Vacmic,0
D3C,Vaculi,5
D3C,Vacvit,0
D4SF,Andpol,40
D4SF,Arcalp,1
D4SF,Astalp,0
D4SF,Baralp,5
D4SF,Betnan,29
D4SF,Bisviv,6
D4SF,Callap,0
D4SF,Carbig,0
D4SF,Carcap,70
D4SF,Cardio,117
D4SF,Carnig,0
D4SF,Carrup,10
D4SF,Carvag,117
D4SF,Castet,0
D4SF,Dessp.,0
D4SF,Dialap,0
D4SF,Dryoct,0
D4SF,Empnig,170
D4SF,Equpra,0
D4SF,Equsci,46
D4SF,Erilat,2
D4SF,Erivag,0
D4SF,Eupfri,0
D4SF,Fesovi,0
D4SF,Hupsel,0
D4SF,Juntri,0
D4SF,Linbor,0
D4SF,Loipro,0
D4SF,Luzspi,0
D4SF,Pedlap,0
D4SF,Pinvul,2
D4SF,Pyrsp.,0
D4SF,Rholap,0
D4SF,Rubcha,3
D4SF,Salmyr,0
D4SF,Salgla,0
D4SF,Salret,0
D4SF,Saualp,0
D4SF,Silaca,0
D4SF,Thaalp,0
D4SF,Tofpus,25
D4SF,Trices,174
D4SF,Vacmic,5
D4SF,Vaculi,61
D4SF,Vacvit,0
D4C,Andpol,69
D4C,Arcalp,1
D4C,Astalp,0
D4C,Baralp,8
D4C,Betnan,29
D4C,Bisviv,18
D4C,Callap,0
D4C,Carbig,0
D4C,Carcap,20
D4C,Cardio,179
D4C,Carnig,0
D4C,Carrup,2
D4C,Carvag,211
D4C,Castet,0
D4C,Dessp.,0
D4C,Dialap,0
D4C,Dryoct,0
D4C,Empnig,63
D4C,Equpra,0
D4C,Equsci,2
D4C,Erilat,3
D4C,Erivag,0
D4C,Eupfri,0
D4C,Fesovi,0
D4C,Hupsel,0
D4C,Juntri,0
D4C,Linbor,0
D4C,Loipro,0
D4C,Luzspi,0
D4C,Pedlap,0
D4C,Pinvul,1
D4C,Pyrsp.,0
D4C,Rholap,3
D4C,Rubcha,1
D4C,Salmyr,0
D4C,Salgla,0
D4C,Salret,0
D4C,Saualp,0
D4C,Silaca,0
D4C,Thaalp,0
D4C,Tofpus,23
D4C,Trices,158
D4C,Vacmic,11
D4C,Vaculi,34
D4C,Vacvit,0
D5SF,Andpol,36
D5SF,Arcalp,13
D5SF,Astalp,46
D5SF,Baralp,12
D5SF,Betnan,97
D5SF,Bisviv,46
D5SF,Callap,0
D5SF,Carbig,4
D5SF,Carcap,41
D5SF,Cardio,0
D5SF,Carnig,0
D5SF,Carrup,4
D5SF,Carvag,153
D5SF,Castet,0
D5SF,Dessp.,4
D5SF,Dialap,0
D5SF,Dryoct,0
D5SF,Empnig,263
D5SF,Equpra,0
D5SF,Equsci,1
D5SF,Erilat,0
D5SF,Erivag,0
D5SF,Eupfri,3
D5SF,Fesovi,175
D5SF,Hupsel,6
D5SF,Juntri,0
D5SF,Linbor,0
D5SF,Loipro,0
D5SF,Luzspi,1
D5SF,Pedlap,0
D5SF,Pinvul,0
D5SF,Pyrsp.,8
D5SF,Rholap,0
D5SF,Rubcha,0
D5SF,Salmyr,66
D5SF,Salgla,109
D5SF,Salret,0
D5SF,Saualp,0
D5SF,Silaca,44
D5SF,Thaalp,0
D5SF,Tofpus,5
D5SF,Trices,7
D5SF,Vacmic,0
D5SF,Vaculi,71
D5SF,Vacvit,18
D5C,Andpol,63
D5C,Arcalp,0
D5C,Astalp,16
D5C,Baralp,14
D5C,Betnan,58
D5C,Bisviv,51
D5C,Callap,0
D5C,Carbig,0
D5C,Carcap,179
D5C,Cardio,0
D5C,Carnig,0
D5C,Carrup,0
D5C,Carvag,90
D5C,Castet,0
D5C,Dessp.,0
D5C,Dialap,0
