plot,spec,hits
X1C,Callap,0
X2SF,Callap,0
X2C,Callap,0
X3SF,Callap,0
X3C,Callap,0
X4SF,Callap,0
X4C,Callap,0
X5SF,Callap,0
X5C,Callap,0
D1SF,Carsp.,4
D1C,Carsp.,0
D2SF,Carsp.,1
D2C,Carsp.,0
D3SF,Carsp.,11
D3C,Carsp.,9
D4SF,Carsp.,3
D4C,Carsp.,1
D5SF,Carsp.,0
D5C,Carsp.,0
E1SF,Carsp.,0
E1C,Carsp.,0
E2SF,Carsp.,0
E2C,Carsp.,0
E3SF,Carsp.,0
E3C,Carsp.,0
E4SF,Carsp.,0
E4C,Carsp.,0
E5SF,Carsp.,0
E5C,Carsp.,0
X1SF,Carsp.,0
X1C,Carsp.,0
X2SF,Carsp.,0
X2C,Carsp.,0
X3SF,Carsp.,0
X3C,Carsp.,0
X4SF,Carsp.,0
X4C,Carsp.,0
X5SF,Carsp.,0
X5C,Carsp.,0
D1SF,Carbig,35
D1C,Carbig,91
D2SF,Carbig,78
D2C,Carbig,66
D3SF,Carbig,68
D3C,Carbig,8
D4SF,Carbig,123
D4C,Carbig,177
D5SF,Carbig,154
D5C,Carbig,145
E1SF,Carbig,23
E1C,Carbig,1
E2SF,Carbig,0
E2C,Carbig,1
E3SF,Carbig,4
E3C,Carbig,0
E4SF,Carbig,1
E4C,Carbig,19
E5SF,Carbig,9
E5C,Carbig,0
X1SF,Carbig,0
X1C,Carbig,0
X2SF,Carbig,0
X2C,Carbig,0
X3SF,Carbig,0
X3C,Carbig,0
X4SF,Carbig,0
X4C,Carbig,0
X5SF,Carbig,0
X5C,Carbig,0
D1SF,Carcap,0
D1C,Carcap,0
D2SF,Carcap,34
D2C,Carcap,0
D3SF,Carcap,0
D3C,Carcap,0
D4SF,Carcap,0
D4C,Carcap,0
D5SF,Carcap,0
D5C,Carcap,22
E1SF,Carcap,0
E1C,Carcap,0
E2SF,Carcap,0
E2C,Carcap,0
E3SF,Carcap,0
E3C,Carcap,0
E4SF,Carcap,0
E4C,Carcap,0
E5SF,Carcap,0
E5C,Carcap,0
X1SF,Carcap,0
X1C,Carcap,0
X2SF,Carcap,0
X2C,Carcap,0
X3SF,Carcap,0
X3C,Carcap,0
X4SF,Carcap,0
X4C,Carcap,0
X5SF,Carcap,0
X5C,Carcap,0
D1SF,Cardio,51
D1C,Cardio,30
D2SF,Cardio,5
D2C,Cardio,0
D3SF,Cardio,25
D3C,Cardio,28
D4SF,Cardio,174
D4C,Cardio,302
D5SF,Cardio,0
D5C,Cardio,0
E1SF,Cardio,0
E1C,Cardio,0
E2SF,Cardio,0
E2C,Cardio,0
E3SF,Cardio,0
E3C,Cardio,0
E4SF,Cardio,0
E4C,Cardio,0
E5SF,Cardio,0
E5C,Cardio,0
X1SF,Cardio,0
X1C,Cardio,0
X2SF,Cardio,0
X2C,Cardio,0
X3SF,Cardio,0
X3C,Cardio,0
X4SF,Cardio,0
X4C,Cardio,0
X5SF,Cardio,0
X5C,Cardio,0
D1SF,Carvag,10
D1C,Carvag,22
D2SF,Carvag,2
D2C,Carvag,0
D3SF,Carvag,2
D3C,Carvag,0
D4SF,Carvag,1
D4C,Carvag,2
D5SF,Carvag,3
D5C,Carvag,1
E1SF,Carvag,7
E1C,Carvag,2
E2SF,Carvag,0
E2C,Carvag,0
E3SF,Carvag,0
E3C,Carvag,0
E4SF,Carvag,0
E4C,Carvag,0
E5SF,Carvag,0
E5C,Carvag,0
X1SF,Carvag,0
X1C,Carvag,0
X2SF,Carvag,0
X2C,Carvag,0
X3SF,Carvag,0
X3C,Carvag,0
X4SF,Carvag,0
X4C,Carvag,0
X5SF,Carvag,0
X5C,Carvag,0
D1SF,Castet,0
D1C,Castet,0
D2SF,Castet,2
D2C,Castet,0
D3SF,Castet,4
D3C,Castet,0
D4SF,Castet,0
D4C,Castet,0
D5SF,Castet,0
D5C,Castet,0
E1SF,Castet,0
E1C,Castet,0
E2SF,Castet,0
E2C,Castet,0
E3SF,Castet,0
E3C,Castet,0
E4SF,Castet,0
E4C,Castet,0
E5SF,Castet,0
E5C,Castet,0
X1SF,Castet,0
X1C,Castet,0
X2SF,Castet,0
X2C,Castet,0
X3SF,Castet,0
X3C,Castet,0
X4SF,Castet,0
X4C,Castet,0
X5SF,Castet,0
X5C,Castet,0
D1SF,Dessp.,0
D1C,Dessp.,0
D2SF,Dessp.,0
D2C,Dessp.,0
D3SF,Dessp.,0
D3C,Dessp.,0
D4SF,Dessp.,0
D4C,Dessp.,0
D5SF,Dessp.,0
D5C,Dessp.,0
E1SF,Dessp.,0
E1C,Dessp.,0
E2SF,Dessp.,0
E2C,Dessp.,0
E3SF,Dessp.,0
E3C,Dessp.,0
E4SF,Dessp.,0
E4C,Dessp.,0
E5SF,Dessp.,0
E5C,Dessp.,0
X1SF,Dessp.,3
X1C,Dessp.,0
X2SF,Dessp.,0
X2C,Dessp.,0
X3SF,Dessp.,0
X3C,Dessp.,0
X4SF,Dessp.,0
X4C,Dessp.,0
X5SF,Dessp.,0
X5C,Dessp.,0
D1SF,Dialap,0
D1C,Dialap,0
D2SF,Dialap,0
D2C,Dialap,0
D3SF,Dialap,0
D3C,Dialap,0
D4SF,Dialap,0
D4C,Dialap,0
D5SF,Dialap,0
D5C,Dialap,0
E1SF,Dialap,0
E1C,Dialap,0
E2SF,Dialap,0
E2C,Dialap,4
E3SF,Dialap,0
E3C,Dialap,1
E4SF,Dialap,4
E4C,Dialap,0
E5SF,Dialap,0
E5C,Dialap,0
X1SF,Dialap,0
X1C,Dialap,1
X2SF,Dialap,0
X2C,Dialap,0
X3SF,Dialap,0
X3C,Dialap,0
X4SF,Dialap,3
X4C,Dialap,0
X5SF,Dialap,4
X5C,Dialap,0
D1SF,Dryoct,0
D1C,Dryoct,0
D2SF,Dryoct,4
D2C,Dryoct,5
D3SF,Dryoct,0
D3C,Dryoct,0
D4SF,Dryoct,0
D4C,Dryoct,0
D5SF,Dryoct,0
D5C,Dryoct,0
E1SF,Dryoct,0
E1C,Dryoct,0
E2SF,Dryoct,0
E2C,Dryoct,0
E3SF,Dryoct,0
E3C,Dryoct,0
E4SF,Dryoct,3
E4C,Dryoct,0
E5SF,Dryoct,0
E5C,Dryoct,0
X1SF,Dryoct,0
X1C,Dryoct,0
X2SF,Dryoct,9
X2C,Dryoct,27
X3SF,Dryoct,0
X3C,Dryoct,0
X4SF,Dryoct,0
X4C,Dryoct,2
X5SF,Dryoct,12
X5C,Dryoct,6
D1SF,Empnig,40
D1C,Empnig,39
D2SF,Empnig,10
D2C,Empnig,3
D3SF,Empnig,1
D3C,Empnig,5
D4SF,Empnig,34
D4C,Empnig,43
D5SF,Empnig,81
