species,plot,hits
Luzula spicata,E1SF,0
Luzula spicata,E1C,0
Luzula spicata,E2SF,0
Luzula spicata,E2C,0
Luzula spicata,E3SF,0
Luzula spicata,E3C,0
Luzula spicata,E4SF,0
Luzula spicata,E4C,0
Luzula spicata,E5SF,0
Luzula spicata,E5C,0
Luzula spicata,X1SF,0
Luzula spicata,X1C,0
Luzula spicata,X2SF,0
Luzula spicata,X2C,0
Luzula spicata,X3SF,0
Luzula spicata,X3C,0
Luzula spicata,X4SF,0
Luzula spicata,X4C,0
Luzula spicata,X5SF,0
Luzula spicata,X5C,0
Pedicularis lapponicum,D1SF,0
Pedicularis lapponicum,D1C,0
Pedicularis lapponicum,D2SF,2
Pedicularis lapponicum,D2C,0
Pedicularis lapponicum,D3SF,0
Pedicularis lapponicum,D3C,0
Pedicularis lapponicum,D4SF,0
Pedicularis lapponicum,D4C,0
Pedicularis lapponicum,D5SF,0
Pedicularis lapponicum,D5C,0
Pedicularis lapponicum,E1SF,5
Pedicularis lapponicum,E1C,0
Pedicularis lapponicum,E2SF,0
Pedicularis lapponicum,E2C,0
Pedicularis lapponicum,E3SF,0
Pedicularis lapponicum,E3C,0
Pedicularis lapponicum,E4SF,1
Pedicularis lapponicum,E4C,1
Pedicularis lapponicum,E5SF,4
Pedicularis lapponicum,E5C,0
Pedicularis lapponicum,X1SF,0
Pedicularis lapponicum,X1C,0
Pedicularis lapponicum,X2SF,0
Pedicularis lapponicum,X2C,0
Pedicularis lapponicum,X3SF,0
Pedicularis lapponicum,X3C,0
Pedicularis lapponicum,X4SF,0
Pedicularis lapponicum,X4C,2
Pedicularis lapponicum,X5SF,0
Pedicularis lapponicum,X5C,0
Phylodoce caerulea,D1SF,0
Phylodoce caerulea,D1C,0
Phylodoce caerulea,D2SF,0
Phylodoce caerulea,D2C,0
Phylodoce caerulea,D3SF,0
Phylodoce caerulea,D3C,0
Phylodoce caerulea,D4SF,0
Phylodoce caerulea,D4C,0
Phylodoce caerulea,D5SF,0
Phylodoce caerulea,D5C,0
Phylodoce caerulea,E1SF,0
Phylodoce caerulea,E1C,0
Phylodoce caerulea,E2SF,0
Phylodoce caerulea,E2C,0
Phylodoce caerulea,E3SF,0
Phylodoce caerulea,E3C,0
Phylodoce caerulea,E4SF,0
Phylodoce caerulea,E4C,0
Phylodoce caerulea,E5SF,0
Phylodoce caerulea,E5C,0
Phylodoce caerulea,X1SF,0
Phylodoce caerulea,X1C,0
Phylodoce caerulea,X2SF,0
Phylodoce caerulea,X2C,0
Phylodoce caerulea,X3SF,0
Phylodoce caerulea,X3C,0
Phylodoce caerulea,X4SF,0
Phylodoce caerulea,X4C,0
Phylodoce caerulea,X5SF,0
Phylodoce caerulea,X5C,0
Pinguicula villosa,D1SF,0
Pinguicula villosa,D1C,0
Pinguicula villosa,D2SF,0
Pinguicula villosa,D2C,0
Pinguicula villosa,D3SF,0
Pinguicula villosa,D3C,0
Pinguicula villosa,D4SF,0
Pinguicula villosa,D4C,0
Pinguicula villosa,D5SF,0
Pinguicula villosa,D5C,0
Pinguicula villosa,E1SF,0
Pinguicula villosa,E1C,0
Pinguicula villosa,E2SF,0
Pinguicula villosa,E2C,0
Pinguicula villosa,E3SF,0
Pinguicula villosa,E3C,0
Pinguicula villosa,E4SF,0
Pinguicula villosa,E4C,0
Pinguicula villosa,E5SF,0
Pinguicula villosa,E5C,0
Pinguicula villosa,X1SF,0
Pinguicula villosa,X1C,0
Pinguicula villosa,X2SF,0
Pinguicula villosa,X2C,0
Pinguicula villosa,X3SF,0
Pinguicula villosa,X3C,0
Pinguicula villosa,X4SF,0
Pinguicula villosa,X4C,0
Pinguicula villosa,X5SF,0
Pinguicula villosa,X5C,0
Pinguicula vulgaris,D1SF,0
Pinguicula vulgaris,D1C,1
Pinguicula vulgaris,D2SF,3
Pinguicula vulgaris,D2C,6
Pinguicula vulgaris,D3SF,0
Pinguicula vulgaris,D3C,8
Pinguicula vulgaris,D4SF,2
Pinguicula vulgaris,D4C,1
Pinguicula vulgaris,D5SF,0
Pinguicula vulgaris,D5C,0
Pinguicula vulgaris,E1SF,0
Pinguicula vulgaris,E1C,0
Pinguicula vulgaris,E2SF,0
Pinguicula vulgaris,E2C,0
Pinguicula vulgaris,E3SF,0
Pinguicula vulgaris,E3C,0
Pinguicula vulgaris,E4SF,0
Pinguicula vulgaris,E4C,0
Pinguicula vulgaris,E5SF,1
Pinguicula vulgaris,E5C,0
Pinguicula vulgaris,X1SF,0
Pinguicula vulgaris,X1C,0
Pinguicula vulgaris,X2SF,0
Pinguicula vulgaris,X2C,2
Pinguicula vulgaris,X3SF,0
Pinguicula vulgaris,X3C,0
Pinguicula vulgaris,X4SF,0
Pinguicula vulgaris,X4C,0
Pinguicula vulgaris,X5SF,0
Pinguicula vulgaris,X5C,0
Pyrola sp.,D1SF,0
Pyrola sp.,D1C,0
Pyrola sp.,D2SF,0
Pyrola sp.,D2C,0
Pyrola sp.,D3SF,0
Pyrola sp.,D3C,0
Pyrola sp.,D4SF,0
Pyrola sp.,D4C,0
Pyrola sp.,D5SF,8
Pyrola sp.,D5C,0
Pyrola sp.,E1SF,0
Pyrola sp.,E1C,0
Pyrola sp.,E2SF,0
Pyrola sp.,E2C,0
Pyrola sp.,E3SF,0
Pyrola sp.,E3C,0
Pyrola sp.,E4SF,0
Pyrola sp.,E4C,0
Pyrola sp.,E5SF,0
Pyrola sp.,E5C,0
Pyrola sp.,X1SF,0
Pyrola sp.,X1C,0
Pyrola sp.,X2SF,0
Pyrola sp.,X2C,0
Pyrola sp.,X3SF,0
Pyrola sp.,X3C,0
Pyrola sp.,X4SF,0
Pyrola sp.,X4C,0
Pyrola sp.,X5SF,0
Pyrola sp.,X5C,0
Rhododendron lapponicum,D1SF,0
Rhododendron lapponicum,D1C,0
Rhododendron lapponicum,D2SF,11
Rhododendron lapponicum,D2C,12
Rhododendron lapponicum,D3SF,10
Rhododendron lapponicum,D3C,0
Rhododendron lapponicum,D4SF,0
Rhododendron lapponicum,D4C,3
Rhododendron lapponicum,D5SF,0
Rhododendron lapponicum,D5C,0
Rhododendron lapponicum,E1SF,0
Rhododendron lapponicum,E1C,0
Rhododendron lapponicum,E2SF,0
Rhododendron lapponicum,E2C,0
Rhododendron lapponicum,E3SF,0
Rhododendron lapponicum,E3C,0
Rhododendron lapponicum,E4SF,0
Rhododendron lapponicum,E4C,0
Rhododendron lapponicum,E5SF,0
Rhododendron lapponicum,E5C,0
Rhododendron lapponicum,X1SF,0
Rhododendron lapponicum,X1C,0
Rhododendron lapponicum,X2SF,0
Rhododendron lapponicum,X2C,0
Rhododendron lapponicum,X3SF,0
Rhododendron lapponicum,X3C,0
Rhododendron lapponicum,X4SF,0
Rhododendron lapponicum,X4C,0
Rhododendron lapponicum,X5SF,0
Rhododendron lapponicum,X5C,0
Rubus chamaemorus,D1SF,0
Rubus chamaemorus,D1C,0
Rubus chamaemorus,D2SF,0
Rubus chamaemorus,D2C,0
Rubus chamaemorus,D3SF,0
Rubus chamaemorus,D3C,2
Rubus chamaemorus,D4SF,3
Rubus chamaemorus,D4C,1
Rubus chamaemorus,D5SF,0
Rubus chamaemorus,D5C,0
Rubus chamaemorus,E1SF,0
Rubus chamaemorus,E1C,0
Rubus chamaemorus,E2SF,0
Rubus chamaemorus,E2C,0
Rubus chamaemorus,E3SF,2
Rubus chamaemorus,E3C,0
Rubus chamaemorus,E4SF,0
Rubus chamaemorus,E4C,0
Rubus chamaemorus,E5SF,0
Rubus chamaemorus,E5C,0
Rubus chamaemorus,X1SF,0
Rubus chamaemorus,X1C,0
Rubus chamaemorus,X2SF,0
Rubus chamaemorus,X2C,0
Rubus chamaemorus,X3SF,0
Rubus chamaemorus,X3C,0
Rubus chamaemorus,X4SF,0
Rubus chamaemorus,X4C,0
Rubus chamaemorus,X5SF,0
Rubus chamaemorus,X5C,0
Salix myrsinites,D1SF,0
Salix myrsinites,D1C,0
Salix myrsinites,D2SF,22
Salix myrsinites,D2C,0
Salix myrsinites,D3SF,0
Salix myrsinites,D3C,0
Salix myrsinites,D4SF,0
Salix myrsinites,D4C,0
Salix myrsinites,D5SF,66
Salix myrsinites,D5C,0
Salix myrsinites,E1SF,27
Salix myrsinites,E1C,0
Salix myrsinites,E2SF,0
Salix myrsinites,E2C,0
Salix myrsinites,E3SF,0
Salix myrsinites,E3C,0
Salix myrsinites,E4SF,0
Salix myrsinites,E4C,0
Salix myrsinites,E5SF,0
Salix myrsinites,E5C,0
Salix myrsinites,X1SF,0
Salix myrsinites,X1C,0
Salix myrsinites,X2SF,0
Salix myrsinites,X2C,0
Salix myrsinites,X3SF,0
Salix myrsinites,X3C,0
Salix myrsinites,X4SF,0
Salix myrsinites,X4C,0
Salix myrsinites,X5SF,0
Salix myrsinites,X5C,0
Salix glauca,D1SF,13
Salix glauca,D1C,32
Salix glauca,D2SF,0
Salix glauca,D2C,4
Salix glauca,D3SF,5
Salix glauca,D3C,0
Salix glauca,D4SF,0
Salix glauca,D4C,0
Salix glauca,D5SF,109
Salix glauca,D5C,37
Salix glauca,E1SF,0
Salix glauca,E1C,0
Salix glauca,E2SF,20
Salix glauca,E2C,4
Salix glauca,E3SF,0
Salix glauca,E3C,1
Salix glauca,E4SF,63
Salix glauca,E4C,0
Salix glauca,E5SF,57
Salix glauca,E5C,0
Salix glauca,X1SF,0
Salix glauca,X1C,0
Salix glauca,X2SF,0
Salix glauca,X2C,0
Salix glauca,X3SF,0
Salix glauca,X3C,0
Salix glauca,X4SF,0
Salix glauca,X4C,0
Salix glauca,X5SF,0
Salix glauca,X5C,0
Salix reticulata,D1SF,0
Salix reticulata,D1C,0
Salix reticulata,D2SF,0
Salix reticulata,D2C,0
Salix reticulata,D3SF,0
Salix reticulata,D3C,0
Salix reticulata,D4SF,0
Salix reticulata,D4C,0
Salix reticulata,D5SF,0
Salix reticulata,D5C,1
Salix reticulata,E1SF,0
Salix reticulata,E1C,0
Salix reticulata,E2SF,0
Salix reticulata,E2C,0
Salix reticulata,E3SF,0
Salix reticulata,E3C,0
Salix reticulata,E4SF,0
Salix reticulata,E4C,0
Salix reticulata,E5SF,0
Salix reticulata,E5C,0
Salix reticulata,X1SF,0
Salix reticulata,X1C,0
Salix reticulata,X2SF,0
Salix reticulata,X2C,0
Salix reticulata,X3SF,0
Salix reticulata,X3C,0
Salix reticulata,X4SF,0
Salix reticulata,X4C,0
Salix reticulata,X5SF,0
Salix reticulata,X5C,0
Saussurea alpina,D1SF,0
Saussurea alpina,D1C,0
Saussurea alpina,D2SF,0
Saussurea alpina,D2C,0
Saussurea alpina,D3SF,0
Saussurea alpina,D3C,0
Saussurea alpina,D4SF,0
Saussurea alpina,D4C,0
Saussurea alpina,D5SF,0
Saussurea alpina,D5C,14
Saussurea alpina,E1SF,2
Saussurea alpina,E1C,0
Saussurea alpina,E2SF,0
Saussurea alpina,E2C,0
Saussurea alpina,E3SF,0
Saussurea alpina,E3C,0
Saussurea alpina,E4SF,0
Saussurea alpina,E4C,0
Saussurea alpina,E5SF,0
Saussurea alpina,E5C,0
Saussurea alpina,X1SF,0
Saussurea alpina,X1C,0
Saussurea alpina,X2SF,0
Saussurea alpina,X2C,0
Saussurea alpina,X3SF,0
Saussurea alpina,X3C,0
Saussurea alpina,X4SF,0
Saussurea alpina,X4C,0
Saussurea alpina,X5SF,0
Saussurea alpina,X5C,0
Silene acaulis,D1SF,23
Silene acaulis,D1C,0
Silene acaulis,D2SF,35
Silene acaulis,D2C,3
Silene acaulis,D3SF,0
Silene acaulis,D3C,1
Silene acaulis,D4SF,0
Silene acaulis,D4C,0
Silene acaulis,D5SF,44
Silene acaulis,D5C,10
Silene acaulis,E1SF,0
Silene acaulis,E1C,0
Silene acaulis,E2SF,0
Silene acaulis,E2C,0
Silene acaulis,E3SF,0
Silene acaulis,E3C,0
Silene acaulis,E4SF,0
Silene acaulis,E4C,0
Silene acaulis,E5SF,0
Silene acaulis,E5C,0
Silene acaulis,X1SF,0
Silene acaulis,X1C,0
Silene acaulis,X2SF,0
Silene acaulis,X2C,0
Silene acaulis,X3SF,0
Silene acaulis,X3C,0
Silene acaulis,X4SF,0
Silene acaulis,X4C,0
Silene acaulis,X5SF,0
Silene acaulis,X5C,0
Thalictrum alpinum,D1SF,0
Thalictrum alpinum,D1C,0
Thalictrum alpinum,D2SF,0
Thalictrum alpinum,D2C,0
Thalictrum alpinum,D3SF,0
Thalictrum alpinum,D3C,0
Thalictrum alpinum,D4SF,0
Thalictrum alpinum,D4C,0
Thalictrum alpinum,D5SF,0
Thalictrum alpinum,D5C,24
Thalictrum alpinum,E1SF,4
Thalictrum alpinum,E1C,0
Thalictrum alpinum,E2SF,0
Thalictrum alpinum,E2C,0
Thalictrum alpinum,E3SF,0
Thalictrum alpinum,E3C,0
Thalictrum alpinum,E4SF,0
Thalictrum alpinum,E4C,0
Thalictrum alpinum,E5SF,0
Thalictrum alpinum,E5C,0
Thalictrum alpinum,X1SF,0
Thalictrum alpinum,X1C,0
Thalictrum alpinum,X2SF,0
Thalictrum alpinum,X2C,0
Thalictrum alpinum,X3SF,0
Thalictrum alpinum,X3C,0
Thalictrum alpinum,X4SF,0
Thalictrum alpinum,X4C,0
Thalictrum alpinum,X5SF,0
Thalictrum alpinum,X5C,0
Tofieldia pusilla,D1SF,48
Tofieldia pusilla,D1C,80
Tofieldia pusilla,D2SF,116
Tofieldia pusilla,D2C,77
Tofieldia pusilla,D3SF,18
Tofieldia pusilla,D3C,81
Tofieldia pusilla,D4SF,25
Tofieldia pusilla,D4C,23
Tofieldia pusilla,D5SF,5
Tofieldia pusilla,D5C,12
Tofieldia pusilla,E1SF,0
Tofieldia pusilla,E1C,0
Tofieldia pusilla,E2SF,0
Tofieldia pusilla,E2C,0
Tofieldia pusilla,E3SF,0
Tofieldia pusilla,E3C,0
Tofieldia pusilla,E4SF,0
Tofieldia pusilla,E4C,0
Tofieldia pusilla,E5SF,0
Tofieldia pusilla,E5C,0
Tofieldia pusilla,X1SF,0
Tofieldia pusilla,X1C,0
Tofieldia pusilla,X2SF,0
Tofieldia pusilla,X2C,0
Tofieldia pusilla,X3SF,0
Tofieldia pusilla,X3C,0
Tofieldia pusilla,X4SF,0
Tofieldia pusilla,X4C,0
Tofieldia pusilla,X5SF,2
Tofieldia pusilla,X5C,1
Trichophorum cespitosum,D1SF,245
Trichophorum cespitosum,D1C,104
Trichophorum cespitosum,D2SF,265
Trichophorum cespitosum,D2C,528
Trichophorum cespitosum,D3SF,665
Trichophorum cespitosum,D3C,505
Trichophorum cespitosum,D4SF,174
Trichophorum cespitosum,D4C,158
Trichophorum cespitosum,D5SF,7
Trichophorum cespitosum,D5C,299
Trichophorum cespitosum,E1SF,0
Trichophorum cespitosum,E1C,0
Trichophorum cespitosum,E2SF,0
Trichophorum cespitosum,E2C,0
Trichophorum cespitosum,E3SF,0
Trichophorum cespitosum,E3C,0
Trichophorum cespitosum,E4SF,0
Trichophorum cespitosum,E4C,0
Trichophorum cespitosum,E5SF,0
Trichophorum cespitosum,E5C,0
Trichophorum cespitosum,X1SF,0
Trichophorum cespitosum,X1C,0
Trichophorum cespitosum,X2SF,0
Trichophorum cespitosum,X2C,0
Trichophorum cespitosum,X3SF,0
Trichophorum cespitosum,X3C,0
Trichophorum cespitosum,X4SF,0
Trichophorum cespitosum,X4C,0
Trichophorum cespitosum,X5SF,0
Trichophorum cespitosum,X5C,0
Vaccinium microcarpum,D1SF,0
Vaccinium microcarpum,D1C,1
Vaccinium microcarpum,D2SF,0
Vaccinium microcarpum,D2C,0
Vaccinium microcarpum,D3SF,0
Vaccinium microcarpum,D3C,0
Vaccinium microcarpum,D4SF,5
Vaccinium microcarpum,D4C,11
Vaccinium microcarpum,D5SF,0
Vaccinium microcarpum,D5C,0
Vaccinium microcarpum,E1SF,0
Vaccinium microcarpum,E1C,0
Vaccinium microcarpum,E2SF,0
Vaccinium microcarpum,E2C,0
Vaccinium microcarpum,E3SF,0
Vaccinium microcarpum,E3C,0
Vaccinium microcarpum,E4SF,0
Vaccinium microcarpum,E4C,0
Vaccinium microcarpum,E5SF,0
Vaccinium microcarpum,E5C,0
Vaccinium microcarpum,X1SF,0
Vaccinium microcarpum,X1C,0
Vaccinium microcarpum,X2SF,0
Vaccinium microcarpum,X2C,0
Vaccinium microcarpum,X3SF,0
Vaccinium microcarpum,X3C,0
Vaccinium microcarpum,X4SF,0
Vaccinium microcarpum,X4C,0
Vaccinium microcarpum,X5SF,0
Vaccinium microcarpum,X5C,0
Vaccinium uliginosum,D1SF,98
Vaccinium uliginosum,D1C,35
Vaccinium uliginosum,D2SF,46
Vaccinium uliginosum,D2C,3
Vaccinium uliginosum,D3SF,3
Vaccinium uliginosum,D3C,5
Vaccinium uliginosum,D4SF,61
Vaccinium uliginosum,D4C,34
Vaccinium uliginosum,D5SF,71
Vaccinium uliginosum,D5C,71
Vaccinium uliginosum,E1SF,72
Vaccinium uliginosum,E1C,240
Vaccinium uliginosum,E2SF,115
Vaccinium uliginosum,E2C,50
Vaccinium uliginosum,E3SF,93
Vaccinium uliginosum,E3C,39
Vaccinium uliginosum,E4SF,350
Vaccinium uliginosum,E4C,100
Vaccinium uliginosum,E5SF,93
Vaccinium uliginosum,E5C,76
Vaccinium uliginosum,X1SF,26
Vaccinium uliginosum,X1C,41
Vaccinium uliginosum,X2SF,56
Vaccinium uliginosum,X2C,29
Vaccinium uliginosum,X3SF,38
Vaccinium uliginosum,X3C,57
Vaccinium uliginosum,X4SF,58
Vaccinium uliginosum,X4C,76
Vaccinium uliginosum,X5SF,40
Vaccinium uliginosum,X5C,28
Vaccinium vitis-idaea,D1SF,1
Vaccinium vitis-idaea,D1C,5
Vaccinium vitis-idaea,D2SF,0
Vaccinium vitis-idaea,D2C,0
Vaccinium vitis-idaea,D3SF,0
Vaccinium vitis-idaea,D3C,0
Vaccinium vitis-idaea,D4SF,0
Vaccinium vitis-idaea,D4C,0
Vaccinium vitis-idaea,D5SF,18
Vaccinium vitis-idaea,D5C,0
Vaccinium vitis-idaea,E1SF,57
Vaccinium vitis-idaea,E1C,74
Vaccinium vitis-idaea,E2SF,47
Vaccinium vitis-idaea,E2C,67
Vaccinium vitis-idaea,E3SF,22
Vaccinium vitis-idaea,E3C,113
Vaccinium vitis-idaea,E4SF,1
Vaccinium vitis-idaea,E4C,0
Vaccinium vitis-idaea,E5SF,10
Vaccinium vitis-idaea,E5C,184
Vaccinium vitis-idaea,X1SF,71
Vaccinium vitis-idaea,X1C,0
Vaccinium vitis-idaea,X2SF,0
Vaccinium vitis-idaea,X2C,0
Vaccinium vitis-idaea,X3SF,0
Vaccinium vitis-idaea,X3C,0
Vaccinium vitis-idaea,X4SF,0
Vaccinium vitis-idaea,X4C,0
Vaccinium vitis-idaea,X5SF,0
Vaccinium vitis-idaea,X5C,0
