plot,species,hits
X4SF,Pedicularis lapponicum,0
X4C,Pedicularis lapponicum,0
X5SF,Pedicularis lapponicum,0
X5C,Pedicularis lapponicum,0
D1SF,Phylodoce caerulea,0
D1C,Phylodoce caerulea,0
D2SF,Phylodoce caerulea,0
D2C,Phylodoce caerulea,0
D3SF,Phylodoce caerulea,0
D3C,Phylodoce caerulea,0
D4SF,Phylodoce caerulea,0
D4C,Phylodoce caerulea,0
D5SF,Phylodoce caerulea,0
D5C,Phylodoce caerulea,0
E1SF,Phylodoce caerulea,1
E1C,Phylodoce caerulea,1
E2SF,Phylodoce caerulea,0
E2C,Phylodoce caerulea,0
E3SF,Phylodoce caerulea,0
E3C,Phylodoce caerulea,0
E4SF,Phylodoce caerulea,0
E4C,Phylodoce caerulea,0
E5SF,Phylodoce caerulea,0
E5C,Phylodoce caerulea,0
X1SF,Phylodoce caerulea,0
X1C,Phylodoce caerulea,0
X2SF,Phylodoce caerulea,0
X2C,Phylodoce caerulea,0
X3SF,Phylodoce caerulea,0
X3C,Phylodoce caerulea,0
X4SF,Phylodoce caerulea,0
X4C,Phylodoce caerulea,0
X5SF,Phylodoce caerulea,0
X5C,Phylodoce caerulea,0
D1SF,Pinguicula villosa,0
D1C,Pinguicula villosa,0
D2SF,Pinguicula villosa,0
D2C,Pinguicula villosa,4
D3SF,Pinguicula villosa,0
D3C,Pinguicula villosa,0
D4SF,Pinguicula villosa,0
D4C,Pinguicula villosa,8
D5SF,Pinguicula villosa,0
D5C,Pinguicula villosa,0
E1SF,Pinguicula villosa,0
E1C,Pinguicula villosa,0
E2SF,Pinguicula villosa,0
E2C,Pinguicula villosa,0
E3SF,Pinguicula villosa,0
E3C,Pinguicula villosa,0
E4SF,Pinguicula villosa,0
E4C,Pinguicula villosa,0
E5SF,Pinguicula villosa,0
E5C,Pinguicula villosa,0
X1SF,Pinguicula villosa,0
X1C,Pinguicula villosa,0
X2SF,Pinguicula villosa,0
X2C,Pinguicula villosa,0
X3SF,Pinguicula villosa,0
X3C,Pinguicula villosa,0
X4SF,Pinguicula villosa,0
X4C,Pinguicula villosa,0
X5SF,Pinguicula villosa,0
X5C,Pinguicula villosa,0
D1SF,Pinguicula vulgaris,0
D1C,Pinguicula vulgaris,0
D2SF,Pinguicula vulgaris,11
D2C,Pinguicula vulgaris,6
D3SF,Pinguicula vulgaris,1
D3C,Pinguicula vulgaris,12
D4SF,Pinguicula vulgaris,2
D4C,Pinguicula vulgaris,29
D5SF,Pinguicula vulgaris,0
D5C,Pinguicula vulgaris,1
E1SF,Pinguicula vulgaris,0
E1C,Pinguicula vulgaris,0
E2SF,Pinguicula vulgaris,0
E2C,Pinguicula vulgaris,0
E3SF,Pinguicula vulgaris,0
E3C,Pinguicula vulgaris,0
E4SF,Pinguicula vulgaris,0
E4C,Pinguicula vulgaris,0
E5SF,Pinguicula vulgaris,0
E5C,Pinguicula vulgaris,0
X1SF,Pinguicula vulgaris,0
X1C,Pinguicula vulgaris,0
X2SF,Pinguicula vulgaris,0
X2C,Pinguicula vulgaris,1
X3SF,Pinguicula vulgaris,0
X3C,Pinguicula vulgaris,0
X4SF,Pinguicula vulgaris,0
X4C,Pinguicula vulgaris,0
X5SF,Pinguicula vulgaris,0
X5C,Pinguicula vulgaris,0
D1SF,Pyrola sp.,0
D1C,Pyrola sp.,0
D2SF,Pyrola sp.,0
D2C,Pyrola sp.,0
D3SF,Pyrola sp.,0
D3C,Pyrola sp.,0
D4SF,Pyrola sp.,0
D4C,Pyrola sp.,0
D5SF,Pyrola sp.,1
D5C,Pyrola sp.,0
E1SF,Pyrola sp.,0
E1C,Pyrola sp.,0
E2SF,Pyrola sp.,0
E2C,Pyrola sp.,0
E3SF,Pyrola sp.,0
E3C,Pyrola sp.,0
E4SF,Pyrola sp.,0
E4C,Pyrola sp.,0
E5SF,Pyrola sp.,0
E5C,Pyrola sp.,0
X1SF,Pyrola sp.,0
X1C,Pyrola sp.,0
X2SF,Pyrola sp.,0
X2C,Pyrola sp.,0
X3SF,Pyrola sp.,0
X3C,Pyrola sp.,0
X4SF,Pyrola sp.,0
X4C,Pyrola sp.,0
X5SF,Pyrola sp.,0
X5C,Pyrola sp.,0
D1SF,Rhododendron lapponicum,0
D1C,Rhododendron lapponicum,0
D2SF,Rhododendron lapponicum,9
D2C,Rhododendron lapponicum,7
D3SF,Rhododendron lapponicum,7
D3C,Rhododendron lapponicum,0
D4SF,Rhododendron lapponicum,0
D4C,Rhododendron lapponicum,2
D5SF,Rhododendron lapponicum,0
D5C,Rhododendron lapponicum,0
E1SF,Rhododendron lapponicum,0
E1C,Rhododendron lapponicum,0
E2SF,Rhododendron lapponicum,0
E2C,Rhododendron lapponicum,0
E3SF,Rhododendron lapponicum,0
E3C,Rhododendron lapponicum,0
E4SF,Rhododendron lapponicum,0
E4C,Rhododendron lapponicum,0
E5SF,Rhododendron lapponicum,0
E5C,Rhododendron lapponicum,0
X1SF,Rhododendron lapponicum,0
X1C,Rhododendron lapponicum,0
X2SF,Rhododendron lapponicum,0
X2C,Rhododendron lapponicum,0
X3SF,Rhododendron lapponicum,0
X3C,Rhododendron lapponicum,0
X4SF,Rhododendron lapponicum,0
X4C,Rhododendron lapponicum,0
X5SF,Rhododendron lapponicum,1
X5C,Rhododendron lapponicum,1
D1SF,Rubus chamaemorus,0
D1C,Rubus chamaemorus,0
D2SF,Rubus chamaemorus,0
D2C,Rubus chamaemorus,0
D3SF,Rubus chamaemorus,0
D3C,Rubus chamaemorus,5
D4SF,Rubus chamaemorus,5
D4C,Rubus chamaemorus,3
D5SF,Rubus chamaemorus,0
D5C,Rubus chamaemorus,0
E1SF,Rubus chamaemorus,0
E1C,Rubus chamaemorus,0
E2SF,Rubus chamaemorus,0
E2C,Rubus chamaemorus,3
E3SF,Rubus chamaemorus,0
E3C,Rubus chamaemorus,0
E4SF,Rubus chamaemorus,0
E4C,Rubus chamaemorus,0
E5SF,Rubus chamaemorus,2
E5C,Rubus chamaemorus,0
X1SF,Rubus chamaemorus,0
X1C,Rubus chamaemorus,0
X2SF,Rubus chamaemorus,0
X2C,Rubus chamaemorus,0
X3SF,Rubus chamaemorus,0
X3C,Rubus chamaemorus,0
X4SF,Rubus chamaemorus,0
X4C,Rubus chamaemorus,0
X5SF,Rubus chamaemorus,0
X5C,Rubus chamaemorus,0
D1SF,Salix arbuscula,0
D1C,Salix arbuscula,0
D2SF,Salix arbuscula,28
D2C,Salix arbuscula,1
D3SF,Salix arbuscula,0
D3C,Salix arbuscula,0
D4SF,Salix arbuscula,0
D4C,Salix arbuscula,0
D5SF,Salix arbuscula,28
D5C,Salix arbuscula,0
E1SF,Salix arbuscula,14
E1C,Salix arbuscula,0
E2SF,Salix arbuscula,0
E2C,Salix arbuscula,0
E3SF,Salix arbuscula,0
E3C,Salix arbuscula,0
E4SF,Salix arbuscula,0
E4C,Salix arbuscula,0
E5SF,Salix arbuscula,0
E5C,Salix arbuscula,0
X1SF,Salix arbuscula,0
X1C,Salix arbuscula,0
X2SF,Salix arbuscula,0
X2C,Salix arbuscula,0
X3SF,Salix arbuscula,0
X3C,Salix arbuscula,0
X4SF,Salix arbuscula,0
X4C,Salix arbuscula,0
X5SF,Salix arbuscula,0
X5C,Salix arbuscula,0
D1SF,Salix glauca,0
D1C,Salix glauca,0
D2SF,Salix glauca,0
D2C,Salix glauca,0
D3SF,Salix glauca,0
D3C,Salix glauca,0
D4SF,Salix glauca,0
D4C,Salix glauca,0
D5SF,Salix glauca,6
D5C,Salix glauca,15
E1SF,Salix glauca,0
E1C,Salix glauca,0
E2SF,Salix glauca,0
E2C,Salix glauca,0
E3SF,Salix glauca,0
E3C,Salix glauca,0
E4SF,Salix glauca,0
E4C,Salix glauca,0
E5SF,Salix glauca,0
E5C,Salix glauca,0
X1SF,Salix glauca,0
X1C,Salix glauca,0
X2SF,Salix glauca,0
X2C,Salix glauca,0
X3SF,Salix glauca,0
X3C,Salix glauca,0
X4SF,Salix glauca,0
X4C,Salix glauca,0
X5SF,Salix glauca,0
X5C,Salix glauca,0
D1SF,Salix lapponum,13
D1C,Salix lapponum,17
D2SF,Salix lapponum,0
D2C,Salix lapponum,6
D3SF,Salix lapponum,4
D3C,Salix lapponum,0
D4SF,Salix lapponum,1
D4C,Salix lapponum,1
D5SF,Salix lapponum,56
D5C,Salix lapponum,0
E1SF,Salix lapponum,0
E1C,Salix lapponum,0
E2SF,Salix lapponum,21
E2C,Salix lapponum,5
E3SF,Salix lapponum,0
E3C,Salix lapponum,1
E4SF,Salix lapponum,27
E4C,Salix lapponum,0
E5SF,Salix lapponum,38
E5C,Salix lapponum,0
X1SF,Salix lapponum,0
X1C,Salix lapponum,0
X2SF,Salix lapponum,0
X2C,Salix lapponum,0
X3SF,Salix lapponum,0
X3C,Salix lapponum,0
X4SF,Salix lapponum,0
X4C,Salix lapponum,0
X5SF,Salix lapponum,0
X5C,Salix lapponum,0
D1SF,Salix reticulata,0
D1C,Salix reticulata,0
D2SF,Salix reticulata,0
D2C,Salix reticulata,0
D3SF,Salix reticulata,0
D3C,Salix reticulata,0
D4SF,Salix reticulata,0
D4C,Salix reticulata,0
D5SF,Salix reticulata,0
D5C,Salix reticulata,2
E1SF,Salix reticulata,0
E1C,Salix reticulata,0
E2SF,Salix reticulata,0
E2C,Salix reticulata,0
E3SF,Salix reticulata,0
E3C,Salix reticulata,0
E4SF,Salix reticulata,0
E4C,Salix reticulata,0
E5SF,Salix reticulata,0
E5C,Salix reticulata,0
X1SF,Salix reticulata,0
X1C,Salix reticulata,0
X2SF,Salix reticulata,0
X2C,Salix reticulata,0
X3SF,Salix reticulata,0
X3C,Salix reticulata,0
X4SF,Salix reticulata,0
X4C,Salix reticulata,0
X5SF,Salix reticulata,0
X5C,Salix reticulata,0
D1SF,Saussurea alpina,0
D1C,Saussurea alpina,0
D2SF,Saussurea alpina,0
D2C,Saussurea alpina,0
D3SF,Saussurea alpina,0
D3C,Saussurea alpina,0
D4SF,Saussurea alpina,0
D4C,Saussurea alpina,0
D5SF,Saussurea alpina,0
D5C,Saussurea alpina,5
E1SF,Saussurea alpina,5
E1C,Saussurea alpina,0
E2SF,Saussurea alpina,0
E2C,Saussurea alpina,0
E3SF,Saussurea alpina,0
E3C,Saussurea alpina,0
E4SF,Saussurea alpina,0
E4C,Saussurea alpina,0
E5SF,Saussurea alpina,0
E5C,Saussurea alpina,0
X1SF,Saussurea alpina,0
X1C,Saussurea alpina,0
X2SF,Saussurea alpina,0
X2C,Saussurea alpina,0
X3SF,Saussurea alpina,0
X3C,Saussurea alpina,0
X4SF,Saussurea alpina,0
X4C,Saussurea alpina,0
X5SF,Saussurea alpina,0
X5C,Saussurea alpina,0
D1SF,Silene acaulis,6
D1C,Silene acaulis,0
D2SF,Silene acaulis,13
D2C,Silene acaulis,0
D3SF,Silene acaulis,0
D3C,Silene acaulis,0
D4SF,Silene acaulis,0
D4C,Silene acaulis,0
D5SF,Silene acaulis,3
D5C,Silene acaulis,3
E1SF,Silene acaulis,0
E1C,Silene acaulis,0
E2SF,Silene acaulis,0
E2C,Silene acaulis,0
E3SF,Silene acaulis,0
E3C,Silene acaulis,0
E4SF,Silene acaulis,0
E4C,Silene acaulis,0
E5SF,Silene acaulis,0
E5C,Silene acaulis,0
X1SF,Silene acaulis,0
X1C,Silene acaulis,0
X2SF,Silene acaulis,0
X2C,Silene acaulis,0
X3SF,Silene acaulis,0
X3C,Silene acaulis,0
X4SF,Silene acaulis,0
X4C,Silene acaulis,0
X5SF,Silene acaulis,0
X5C,Silene acaulis,0
D1SF,Thalictrum alpinum,0
D1C,Thalictrum alpinum,0
D2SF,Thalictrum alpinum,0
D2C,Thalictrum alpinum,0
D3SF,Thalictrum alpinum,0
D3C,Thalictrum alpinum,0
D4SF,Thalictrum alpinum,0
D4C,Thalictrum alpinum,0
D5SF,Thalictrum alpinum,0
D5C,Thalictrum alpinum,21
E1SF,Thalictrum alpinum,2
E1C,Thalictrum alpinum,0
E2SF,Thalictrum alpinum,0
E2C,Thalictrum alpinum,0
E3SF,Thalictrum alpinum,0
E3C,Thalictrum alpinum,0
E4SF,Thalictrum alpinum,0
E4C,Thalictrum alpinum,0
E5SF,Thalictrum alpinum,0
E5C,Thalictrum alpinum,0
X1SF,Thalictrum alpinum,0
X1C,Thalictrum alpinum,0
X2SF,Thalictrum alpinum,0
X2C,Thalictrum alpinum,0
X3SF,Thalictrum alpinum,0
X3C,Thalictrum alpinum,0
X4SF,Thalictrum alpinum,0
X4C,Thalictrum alpinum,0
X5SF,Thalictrum alpinum,0
X5C,Thalictrum alpinum,0
D1SF,Tofielda pusilla,26
D1C,Tofielda pusilla,21
D2SF,Tofielda pusilla,43
D2C,Tofielda pusilla,39
D3SF,Tofielda pusilla,15
D3C,Tofielda pusilla,52
D4SF,Tofielda pusilla,1
D4C,Tofielda pusilla,10
D5SF,Tofielda pusilla,0
D5C,Tofielda pusilla,0
E1SF,Tofielda pusilla,0
E1C,Tofielda pusilla,0
E2SF,Tofielda pusilla,0
E2C,Tofielda pusilla,0
E3SF,Tofielda pusilla,0
E3C,Tofielda pusilla,0
E4SF,Tofielda pusilla,0
E4C,Tofielda pusilla,0
E5SF,Tofielda pusilla,0
E5C,Tofielda pusilla,0
X1SF,Tofielda pusilla,0
X1C,Tofielda pusilla,0
X2SF,Tofielda pusilla,0
X2C,Tofielda pusilla,0
X3SF,Tofielda pusilla,0
X3C,Tofielda pusilla,0
X4SF,Tofielda pusilla,0
X4C,Tofielda pusilla,0
X5SF,Tofielda pusilla,1
X5C,Tofielda pusilla,0
D1SF,Trichophorum cespitosum,133
D1C,Trichophorum cespitosum,65
D2SF,Trichophorum cespitosum,174
D2C,Trichophorum cespitosum,252
D3SF,Trichophorum cespitosum,355
D3C,Trichophorum cespitosum,300
D4SF,Trichophorum cespitosum,4
D4C,Trichophorum cespitosum,2
D5SF,Trichophorum cespitosum,18
D5C,Trichophorum cespitosum,166
E1SF,Trichophorum cespitosum,0
E1C,Trichophorum cespitosum,0
E2SF,Trichophorum cespitosum,0
E2C,Trichophorum cespitosum,0
E3SF,Trichophorum cespitosum,0
E3C,Trichophorum cespitosum,0
E4SF,Trichophorum cespitosum,0
E4C,Trichophorum cespitosum,0
E5SF,Trichophorum cespitosum,0
E5C,Trichophorum cespitosum,0
X1SF,Trichophorum cespitosum,0
X1C,Trichophorum cespitosum,0
X2SF,Trichophorum cespitosum,0
X2C,Trichophorum cespitosum,0
X3SF,Trichophorum cespitosum,0
X3C,Trichophorum cespitosum,0
X4SF,Trichophorum cespitosum,0
X4C,Trichophorum cespitosum,0
X5SF,Trichophorum cespitosum,0
X5C,Trichophorum cespitosum,0
D1SF,Vaccinium microcarpum,0
D1C,Vaccinium microcarpum,0
D2SF,Vaccinium microcarpum,0
D2C,Vaccinium microcarpum,0
D3SF,Vaccinium microcarpum,0
D3C,Vaccinium microcarpum,1
D4SF,Vaccinium microcarpum,0
D4C,Vaccinium microcarpum,23
D5SF,Vaccinium microcarpum,0
D5C,Vaccinium microcarpum,0
E1SF,Vaccinium microcarpum,0
E1C,Vaccinium microcarpum,0
E2SF,Vaccinium microcarpum,0
E2C,Vaccinium microcarpum,0
E3SF,Vaccinium microcarpum,0
E3C,Vaccinium microcarpum,0
E4SF,Vaccinium microcarpum,0
E4C,Vaccinium microcarpum,0
E5SF,Vaccinium microcarpum,0
E5C,Vaccinium microcarpum,0
X1SF,Vaccinium microcarpum,0
X1C,Vaccinium microcarpum,0
X2SF,Vaccinium microcarpum,0
X2C,Vaccinium microcarpum,0
X3SF,Vaccinium microcarpum,0
X3C,Vaccinium microcarpum,0
X4SF,Vaccinium microcarpum,0
X4C,Vaccinium microcarpum,0
X5SF,Vaccinium microcarpum,0
X5C,Vaccinium microcarpum,0
D1SF,Vaccinium uliginosum,83
D1C,Vaccinium uliginosum,52
D2SF,Vaccinium uliginosum,29
D2C,Vaccinium uliginosum,1
D3SF,Vaccinium uliginosum,2
D3C,Vaccinium uliginosum,6
D4SF,Vaccinium uliginosum,32
D4C,Vaccinium uliginosum,11
D5SF,Vaccinium uliginosum,37
D5C,Vaccinium uliginosum,61
E1SF,Vaccinium uliginosum,45
E1C,Vaccinium uliginosum,73
E2SF,Vaccinium uliginosum,88
E2C,Vaccinium uliginosum,39
E3SF,Vaccinium uliginosum,72
E3C,Vaccinium uliginosum,26
E4SF,Vaccinium uliginosum,240
E4C,Vaccinium uliginosum,91
E5SF,Vaccinium uliginosum,77
E5C,Vaccinium uliginosum,87
X1SF,Vaccinium uliginosum,22
X1C,Vaccinium uliginosum,35
X2SF,Vaccinium uliginosum,31
X2C,Vaccinium uliginosum,29
X3SF,Vaccinium uliginosum,50
X3C,Vaccinium uliginosum,30
X4SF,Vaccinium uliginosum,53
X4C,Vaccinium uliginosum,35
X5SF,Vaccinium uliginosum,35
X5C,Vaccinium uliginosum,16
D1SF,Vaccinium vitis-idaea,0
D1C,Vaccinium vitis-idaea,2
D2SF,Vaccinium vitis-idaea,0
D2C,Vaccinium vitis-idaea,0
D3SF,Vaccinium vitis-idaea,0
D3C,Vaccinium vitis-idaea,0
D4SF,Vaccinium vitis-idaea,0
D4C,Vaccinium vitis-idaea,0
D5SF,Vaccinium vitis-idaea,10
D5C,Vaccinium vitis-idaea,0
E1SF,Vaccinium vitis-idaea,52
E1C,Vaccinium vitis-idaea,51
E2SF,Vaccinium vitis-idaea,37
E2C,Vaccinium vitis-idaea,66
E3SF,Vaccinium vitis-idaea,10
E3C,Vaccinium vitis-idaea,97
E4SF,Vaccinium vitis-idaea,0
E4C,Vaccinium vitis-idaea,0
E5SF,Vaccinium vitis-idaea,8
E5C,Vaccinium vitis-idaea,123
X1SF,Vaccinium vitis-idaea,42
X1C,Vaccinium vitis-idaea,0
X2SF,Vaccinium vitis-idaea,0
X2C,Vaccinium vitis-idaea,0
X3SF,Vaccinium vitis-idaea,0
X3C,Vaccinium vitis-idaea,0
X4SF,Vaccinium vitis-idaea,0
X4C,Vaccinium vitis-idaea,0
X5SF,Vaccinium vitis-idaea,0
X5C,Vaccinium vitis-idaea,0
D1SF,Vascular plant unknown,0
D1C,Vascular plant unknown,0
D2SF,Vascular plant unknown,0
D2C,Vascular plant unknown,0
D3SF,Vascular plant unknown,0
D3C,Vascular plant unknown,0
D4SF,Vascular plant unknown,0
D4C,Vascular plant unknown,7
D5SF,Vascular plant unknown,0
D5C,Vascular plant unknown,0
E1SF,Vascular plant unknown,2
E1C,Vascular plant unknown,0
E2SF,Vascular plant unknown,0
E2C,Vascular plant unknown,0
E3SF,Vascular plant unknown,0
E3C,Vascular plant unknown,0
E4SF,Vascular plant unknown,0
E4C,Vascular plant unknown,0
E5SF,Vascular plant unknown,0
E5C,Vascular plant unknown,0
X1SF,Vascular plant unknown,0
X1C,Vascular plant unknown,0
X2SF,Vascular plant unknown,0
X2C,Vascular plant unknown,0
X3SF,Vascular plant unknown,0
X3C,Vascular plant unknown,0
X4SF,Vascular plant unknown,0
X4C,Vascular plant unknown,0
X5SF,Vascular plant unknown,0
X5C,Vascular plant unknown,0
