plot,species,hits
E4C,Bistorta vivipara,2
E5SF,Bistorta vivipara,0
E5C,Bistorta vivipara,0
X1SF,Bistorta vivipara,0
X1C,Bistorta vivipara,0
X2SF,Bistorta vivipara,0
X2C,Bistorta vivipara,0
X3SF,Bistorta vivipara,0
X3C,Bistorta vivipara,0
X4SF,Bistorta vivipara,0
X4C,Bistorta vivipara,0
X5SF,Bistorta vivipara,0
X5C,Bistorta vivipara,0
D1SF,Calamagrostis lapponicum,0
D1C,Calamagrostis lapponicum,0
D2SF,Calamagrostis lapponicum,0
D2C,Calamagrostis lapponicum,0
D3SF,Calamagrostis lapponicum,0
D3C,Calamagrostis lapponicum,0
D4SF,Calamagrostis lapponicum,0
D4C,Calamagrostis lapponicum,0
D5SF,Calamagrostis lapponicum,0
D5C,Calamagrostis lapponicum,0
E1SF,Calamagrostis lapponicum,9
E1C,Calamagrostis lapponicum,2
E2SF,Calamagrostis lapponicum,29
E2C,Calamagrostis lapponicum,48
E3SF,Calamagrostis lapponicum,33
E3C,Calamagrostis lapponicum,11
E4SF,Calamagrostis lapponicum,143
E4C,Calamagrostis lapponicum,18
E5SF,Calamagrostis lapponicum,34
E5C,Calamagrostis lapponicum,95
X1SF,Calamagrostis lapponicum,0
X1C,Calamagrostis lapponicum,0
X2SF,Calamagrostis lapponicum,0
X2C,Calamagrostis lapponicum,0
X3SF,Calamagrostis lapponicum,0
X3C,Calamagrostis lapponicum,0
X4SF,Calamagrostis lapponicum,0
X4C,Calamagrostis lapponicum,0
X5SF,Calamagrostis lapponicum,0
X5C,Calamagrostis lapponicum,0
D1SF,Carex sp.,4
D1C,Carex sp.,0
D2SF,Carex sp.,1
D2C,Carex sp.,0
D3SF,Carex sp.,11
D3C,Carex sp.,9
D4SF,Carex sp.,3
D4C,Carex sp.,1
D5SF,Carex sp.,0
D5C,Carex sp.,0
E1SF,Carex sp.,0
E1C,Carex sp.,0
E2SF,Carex sp.,0
E2C,Carex sp.,0
E3SF,Carex sp.,0
E3C,Carex sp.,0
E4SF,Carex sp.,0
E4C,Carex sp.,0
E5SF,Carex sp.,0
E5C,Carex sp.,0
X1SF,Carex sp.,0
X1C,Carex sp.,0
X2SF,Carex sp.,0
X2C,Carex sp.,0
X3SF,Carex sp.,0
X3C,Carex sp.,0
X4SF,Carex sp.,0
X4C,Carex sp.,0
X5SF,Carex sp.,0
X5C,Carex sp.,0
D1SF,Carex bigelowii,35
D1C,Carex bigelowii,91
D2SF,Carex bigelowii,78
D2C,Carex bigelowii,66
D3SF,Carex bigelowii,68
D3C,Carex bigelowii,8
D4SF,Carex bigelowii,123
D4C,Carex bigelowii,177
D5SF,Carex bigelowii,154
D5C,Carex bigelowii,145
E1SF,Carex bigelowii,23
E1C,Carex bigelowii,1
E2SF,Carex bigelowii,0
E2C,Carex bigelowii,1
E3SF,Carex bigelowii,4
E3C,Carex bigelowii,0
E4SF,Carex bigelowii,1
E4C,Carex bigelowii,19
E5SF,Carex bigelowii,9
E5C,Carex bigelowii,0
X1SF,Carex bigelowii,0
X1C,Carex bigelowii,0
X2SF,Carex bigelowii,0
X2C,Carex bigelowii,0
X3SF,Carex bigelowii,0
X3C,Carex bigelowii,0
X4SF,Carex bigelowii,0
X4C,Carex bigelowii,0
X5SF,Carex bigelowii,0
X5C,Carex bigelowii,0
D1SF,Carex capillaris,0
D1C,Carex capillaris,0
D2SF,Carex capillaris,34
D2C,Carex capillaris,0
D3SF,Carex capillaris,0
D3C,Carex capillaris,0
D4SF,Carex capillaris,0
D4C,Carex capillaris,0
D5SF,Carex capillaris,0
D5C,Carex capillaris,22
E1SF,Carex capillaris,0
E1C,Carex capillaris,0
E2SF,Carex capillaris,0
E2C,Carex capillaris,0
E3SF,Carex capillaris,0
E3C,Carex capillaris,0
E4SF,Carex capillaris,0
E4C,Carex capillaris,0
E5SF,Carex capillaris,0
E5C,Carex capillaris,0
X1SF,Carex capillaris,0
X1C,Carex capillaris,0
X2SF,Carex capillaris,0
X2C,Carex capillaris,0
X3SF,Carex capillaris,0
X3C,Carex capillaris,0
X4SF,Carex capillaris,0
X4C,Carex capillaris,0
X5SF,Carex capillaris,0
X5C,Carex capillaris,0
D1SF,Carex dioica,51
D1C,Carex dioica,30
D2SF,Carex dioica,5
D2C,Carex dioica,0
D3SF,Carex dioica,25
D3C,Carex dioica,28
D4SF,Carex dioica,174
D4C,Carex dioica,302
D5SF,Carex dioica,0
D5C,Carex dioica,0
E1SF,Carex dioica,0
E1C,Carex dioica,0
E2SF,Carex dioica,0
E2C,Carex dioica,0
E3SF,Carex dioica,0
E3C,Carex dioica,0
E4SF,Carex dioica,0
E4C,Carex dioica,0
E5SF,Carex dioica,0
E5C,Carex dioica,0
X1SF,Carex dioica,0
X1C,Carex dioica,0
X2SF,Carex dioica,0
X2C,Carex dioica,0
X3SF,Carex dioica,0
X3C,Carex dioica,0
X4SF,Carex dioica,0
X4C,Carex dioica,0
X5SF,Carex dioica,0
X5C,Carex dioica,0
D1SF,Carex vaginatum,10
D1C,Carex vaginatum,22
D2SF,Carex vaginatum,2
D2C,Carex vaginatum,0
D3SF,Carex vaginatum,2
D3C,Carex vaginatum,0
D4SF,Carex vaginatum,1
D4C,Carex vaginatum,2
D5SF,Carex vaginatum,3
D5C,Carex vaginatum,1
E1SF,Carex vaginatum,7
E1C,Carex vaginatum,2
E2SF,Carex vaginatum,0
E2C,Carex vaginatum,0
E3SF,Carex vaginatum,0
E3C,Carex vaginatum,0
E4SF,Carex vaginatum,0
E4C,Carex vaginatum,0
E5SF,Carex vaginatum,0
E5C,Carex vaginatum,0
X1SF,Carex vaginatum,0
X1C,Carex vaginatum,0
X2SF,Carex vaginatum,0
X2C,Carex vaginatum,0
X3SF,Carex vaginatum,0
X3C,Carex vaginatum,0
X4SF,Carex vaginatum,0
X4C,Carex vaginatum,0
X5SF,Carex vaginatum,0
X5C,Carex vaginatum,0
D1SF,Cassiope tetragona,0
D1C,Cassiope tetragona,0
D2SF,Cassiope tetragona,2
D2C,Cassiope tetragona,0
D3SF,Cassiope tetragona,4
D3C,Cassiope tetragona,0
D4SF,Cassiope tetragona,0
D4C,Cassiope tetragona,0
D5SF,Cassiope tetragona,0
D5C,Cassiope tetragona,0
E1SF,Cassiope tetragona,0
E1C,Cassiope tetragona,0
E2SF,Cassiope tetragona,0
E2C,Cassiope tetragona,0
E3SF,Cassiope tetragona,0
E3C,Cassiope tetragona,0
E4SF,Cassiope tetragona,0
E4C,Cassiope tetragona,0
E5SF,Cassiope tetragona,0
E5C,Cassiope tetragona,0
X1SF,Cassiope tetragona,0
X1C,Cassiope tetragona,0
X2SF,Cassiope tetragona,0
X2C,Cassiope tetragona,0
