code,plot,habitat,site,treatment,spec,height,fweight,dweight,bulknr,leafa,comment
X2C1,X2C,X,2,C,Empnig,2.4,0.1029,0.0482,,3.983809452,
X2C2,X2C,X,2,C,Empnig,3,0.0774,0.0306,,3.06741322,
X2C3,X2C,X,2,C,Empnig,1.8,0.052,0.0244,,2.271949004,
X2C4,X2C,X,2,C,Empnig,2.1,0.0764,0.033,,2.915441911,
X2C9,X2C,X,2,C,Betnan,2.7,0.0632,0.0294,,3.655781076,
X2C10,X2C,X,2,C,Betnan,3,0.052,0.0222,,2.651517923,
X2C11,X2C,X,2,C,Vaculi,1.4,0.1109,0.0429,,4.493341981,
X2C12,X2C,X,2,C,Vaculi,2.4,0.0505,0.0206,,2.259117417,
X2C13,X2C,X,2,C,Vaculi,1.3,0.0587,0.0247,,2.717395856,
X2C14,X2C,X,2,C,Vaculi,2.6,0.069,0.0314,,3.035065543,
X2SF1,X2SF,X,2,SF,Empnig,2.6,0.0848,0.0414,,3.746372507,
X2SF2,X2SF,X,2,SF,Empnig,1.8,0.0391,0.0196,,1.786411911,
X2SF3,X2SF,X,2,SF,Empnig,2.7,0.0697,0.0379,,3.038004892,
X2SF4,X2SF,X,2,SF,Empnig,2.8,0.0661,0.0319,,2.977198562,
X2SF9,X2SF,X,2,SF,Betnan,12,0.0495,0.0231,,2.681625604,
X2SF10,X2SF,X,2,SF,Betnan,4.8,0.0558,0.0265,,2.716499728,
X2SF11,X2SF,X,2,SF,Betnan,5,0.0296,0.0135,,1.569602667,
X2SF12,X2SF,X,2,SF,Betnan,3.3,0.0543,0.0234,,2.874384574,
X2SF13,X2SF,X,2,SF,Vaculi,2.7,0.0642,0.0243,,3.240101262,
X2SF14,X2SF,X,2,SF,Vaculi,1.2,0.0259,0.0104,,1.245122671,
X2SF15,X2SF,X,2,SF,Vaculi,2.4,0.0364,0.0153,,1.7516094,
X2SF16,X2SF,X,2,SF,Vaculi,1.3,0.0743,0.0316,,2.812180827,
E1C1,E1C,E,1,C,Empnig,3.4,0.0903,0.0429,,3.6725733,
E1C2,E1C,E,1,C,Empnig,4.5,0.0935,0.0382,,3.977213981,
E1C3,E1C,E,1,C,Empnig,4.7,0.0602,0.0271,,2.603041246,
E1C4,E1C,E,1,C,Empnig,3.6,0.069,0.0304,,3.10289702,
E1C9,E1C,E,1,C,Betnan,10.3,0.0731,0.0302,,3.65837978,
E1C10,E1C,E,1,C,Betnan,10.4,0.0869,0.0373,,3.790189194,
E1C11,E1C,E,1,C,Betnan,10.7,0.0711,0.0301,,3.361265536,
E1C12,E1C,E,1,C,Betnan,9.8,0.0918,0.0359,,4.29370109,
E1C13,E1C,E,1,C,Vaculi,5.9,0.0441,0.0159,,2.211877512,
E1C14,E1C,E,1,C,Vaculi,9.2,0.0577,0.0222,,2.733955177,
E1C15,E1C,E,1,C,Vaculi,7.8,0.0655,0.0243,,2.606338658,
E1C16,E1C,E,1,C,Vaculi,9.7,0.0628,0.0233,,2.841553672,
E1SF1,E1SF,E,1,SF,Vaculi,3,0.0481,0.0193,,2.215927181,
E1SF2,E1SF,E,1,SF,Vaculi,7.9,0.0476,0.019,,2.287468328,
E1SF3,E1SF,E,1,SF,Vaculi,7.3,0.0548,0.0203,,2.552127154,
