code,Plot,habitat,site,treatment,number,species,height,fweight,dweight,leafa
X1Cb,X1C,X,X1,C,b,Betnan,9.5,0.067,0.0282,2.772718326
X1Cc,X1C,X,X1,C,c,Vaculi,2.9,0.0419,0.0165,2.168687276
X1Cd,X1C,X,X1,C,d,Vaculi,3.9,0.0455,0.0189,2.20951171
X1Ce,X1C,X,X1,C,e,Empnig,1.6,0.1013,0.0458,4.08563699
X1Cf,X1C,X,X1,C,f,Empnig,2.2,0.0923,0.0422,3.780189859
X5C1,X5C,X,X5,C,1,Betnan,2.3,0.053,0.0232,
X5C2,X5C,X,X5,C,2,Betnan,0.1,0.0945,0.0353,4.648557154
X5C3,X5C,X,X5,C,3,Betnan,1.9,0.0861,0.0363,3.696891961
X5C4,X5C,X,X5,C,4,Betnan,2.1,0.0884,0.0363,4.056945434
X5C5,X5C,X,X5,C,5,Vaculi,2.9,0.0664,0.0269,
X5C6,X5C,X,X5,C,6,Vaculi,3.8,0.0663,0.0268,3.162914964
X5C7,X5C,X,X5,C,7,Vaculi,0.6,0.0321,0.0123,1.50612602
X5C8,X5C,X,X5,C,8,Vaculi,3.7,0.0447,0.0183,2.268561914
X5C9,X5C,X,X5,C,9,Empnig,1.9,0.0851,0.0408,3.214957441
X5C10,X5C,X,X5,C,10,Empnig,4.6,0.1488,0.0752,6.254485556
X5C11,X5C,X,X5,C,11,Empnig,2,0.1555,0.0727,6.629413193
X5C12,X5C,X,X5,C,12,Empnig,3.9,0.0824,0.0412,2.984474031
X4C1,X4C,X,X4,C,1,Vaculi,1.6,0.015,0.005,0.91435301
X4C2,X4C,X,X4,C,2,Vaculi,1.4,0.0359,0.0152,1.791501578
X4C3,X4C,X,X4,C,3,Vaculi,1.9,0.039,0.0161,1.980569587
X4C4,X4C,X,X4,C,4,Vaculi,1.9,0.0384,0.0158,1.760426802
X4C5,X4C,X,X4,C,5,Betnan,5.2,0.0722,0.033,3.255101232
X4C6,X4C,X,X4,C,6,Betnan,4.8,0.0936,0.0425,4.224418003
X4C7,X4C,X,X4,C,7,Betnan,3.8,0.0975,0.0432,4.66370035
X4C8,X4C,X,X4,C,8,Betnan,4.1,0.1335,0.0552,5.669702209
X4C9,X4C,X,X4,C,9,Empnig,4,0.0346,0.0158,1.426699727
X4C10,X4C,X,X4,C,10,Empnig,0.1,0.0925,0.047,3.9370889
X4C11,X4C,X,X4,C,11,Empnig,3.6,0.0615,0.0309,2.665908862
X4C12,X4C,X,X4,C,12,Empnig,2.9,0.0556,0.0241,2.255891617
X4SF1,X4SF,X,X4,SF,1,Betnan,6.3,0.0803,0.0358,3.990028149
X4SF2,X4SF,X,X4,SF,2,Betnan,4.8,0.0826,0.0319,4.025171304
X4SF3,X4SF,X,X4,SF,3,Betnan,4.6,0.0697,0.0309,3.662877836
X4SF4,X4SF,X,X4,SF,4,Betnan,6.9,0.0602,0.023,3.365584882
X4SF5,X4SF,X,X4,SF,5,Vaculi,4.2,0.0577,0.0218,2.814098243
X4SF6,X4SF,X,X4,SF,6,Vaculi,5.7,0.1126,0.0421,4.505277441
X4SF7,X4SF,X,X4,SF,7,Vaculi,2.8,0.0362,0.0161,1.67709342
X4SF8,X4SF,X,X4,SF,8,Vaculi,2.4,0.0583,0.0238,2.858650412
X4SF9,X4SF,X,X4,SF,9,Empnig,3,0.084,0.041,3.912357982
X4SF10,X4SF,X,X4,SF,10,Empnig,2.8,0.0594,0.0274,2.820227263
X4SF11,X4SF,X,X4,SF,11,Empnig,3.2,0.0729,0.0331,3.091911236
X4SF12,X4SF,X,X4,SF,12,Empnig,5.4,0.128,0.0652,5.922389446
D5SF1,D5SF,D,D5,SF,1,Betnan,2.6,0.1125,0.0434,5.127140068
D5SF2,D5SF,D,D5,SF,2,Betnan,19.5,0.1628,0.0595,7.573622917
D5SF3,D5SF,D,D5,SF,3,Betnan,30,0.1296,0.0546,6.310901572
D5SF4,D5SF,D,D5,SF,4,Betnan,16,0.1266,0.0496,6.713714314
D5SF5,D5SF,D,D5,SF,5,Vaculi,6.1,0.0699,0.0277,3.192449099
D5SF6,D5SF,D,D5,SF,6,Vaculi,7,0.1076,0.0371,5.104236888
