Slice,Count,Total Area,Average Size,%Area,Mean
X4C5,29,5045.417,173.98,21.215,255
X4C6,18,6547.861,363.77,22.24,255
X4C7,62,7228.75,116.593,10.132,255
X4C8,83,8788.056,105.88,14.885,255
X4C9,105,2211.389,21.061,1.89,255
X4SF1,79,6184.556,78.286,11.262,255
X4SF10,179,4371.361,24.421,3.294,255
X4SF11,169,4792.472,28.358,3.341,255
X4SF12,315,9179.722,29.142,3.676,255
X4SF2,30,6239.028,207.968,16.826,255
X4SF3,61,5677.472,93.073,19.927,255
X4SF4,30,5216.667,173.889,13.148,255
X4SF5,23,4361.861,189.646,8.44,255
X4SF6,64,6983.194,109.112,14.413,255
X4SF7,33,2599.5,78.773,9.042,255
X4SF8,40,4430.917,110.773,11.996,255
X4SF9,238,6064.167,25.48,2.909,255
X5C10,427,9694.472,22.704,6.273,255
X5C11,428,10275.611,24.008,5.801,255
X5C12,194,4625.944,23.845,3.585,255
X5C2,59,7205.278,122.123,12.532,255
X5C3,66,5730.194,86.821,11.115,255
X5C4,49,6288.278,128.332,11.718,255
X5C6,42,4902.528,116.727,7.731,255
X5C7,14,2334.5,166.75,6.503,255
X5C8,28,3516.278,125.581,6.995,255
X5C9,207,4983.194,24.073,3.606,255
X5SF1,47,5313.833,113.06,11.358,255
X5SF10,253,3263.167,12.898,2.257,255
X5SF11,261,4763.917,18.253,2.979,255
X5SF12,152,1956.861,12.874,2.095,255
X5SF2,49,4625.972,94.408,9.68,255
X5SF3,46,4288.667,93.232,10.026,255
X5SF4,47,6123.222,130.281,12.656,255
X5SF5,34,4035.222,118.683,12.957,255
X5SF6,40,3451.667,86.292,7.955,255
X5SF7,29,5445.194,187.765,14.04,255
X5SF8,28,4775.556,170.556,15.091,255
X5SF9,201,2246.694,11.178,1.796,255
