Slice,Count,Total Area,Average Size,%Area,Mean
D1Ca,28,3852.028,137.572,6.61,255
D1Cb,23,4949.944,215.215,17.804,255
D1Cc,52,4641.75,89.264,6.778,255
D1Cd,32,4813.944,150.436,11.577,255
D1Ce,180,5861.417,32.563,3.967,255
D1Cf,182,5731.389,31.491,3.152,255
D1SFa,60,10102.945,168.382,17.387,255
D1SFb,30,4978.972,165.966,13.817,255
D1SFc,140,3249,23.207,3.329,255
D2C1,32,7558.639,236.207,21.854,255
D2C10,289,4813.972,16.657,2.645,255
D2C11,136,3097.722,22.777,3.15,255
D2C12,200,3343,16.715,3.251,255
D2C2,34,5020.583,147.664,17.399,255
D2C3,43,4522.417,105.172,11.481,255
D2C4,28,4261.167,152.185,13.159,255
D2C5,50,6446.028,128.921,13.432,255
D2C6,71,3518.583,49.558,6.87,255
D2C7,81,4734.389,58.449,10.791,255
D2C8,88,4996.944,56.783,8.5,255
D2C9,200,4895.944,24.48,3.545,255
D2SF1,22,2837.972,128.999,11.008,255
D2SF10,117,2803.528,23.962,4.057,255
D2SF11,174,3120.889,17.936,1.957,255
D2SF12,329,6187.306,18.806,3.521,255
D2SF2,26,3585.472,137.903,9.89,255
D2SF3,49,8091.389,165.13,19.161,255
D2SF4,24,7252.055,302.169,17.399,255
D2SF5,22,4062.722,184.669,12.731,255
D2SF6,21,3579.139,170.435,12.514,255
D2SF7,37,8451.972,228.432,28.155,255
D2SF8,18,5876.889,326.494,19.68,255
D2SF9,202,3415.806,16.91,2.513,255
D3C1,47,8551.194,181.94,24.781,255
D3C10,174,3661.25,21.042,3.607,255
D3C11,243,4602.278,18.939,3.024,255
D3C12,344,5608.028,16.302,2.872,255
D3C2,22,1980.722,90.033,5.429,255
D3C3,40,4891.889,122.297,12.394,255
D3C4,32,2256.472,70.515,5.923,255
D3C5,39,4260.639,109.247,11.023,255
D3C6,68,4571.389,67.226,7.488,255
D3C7,30,4767.528,158.918,12.427,255
D3C8,41,3644.556,88.892,8.732,255
D3C9,209,4289.25,20.523,2.843,255
D3SF1,48,5530,115.208,7.366,255
D3SF10,165,3695.222,22.395,2.888,255
D3SF11,191,4986.278,26.106,2.687,255
D3SF12,247,5320.25,21.539,3.267,255
D3SF2,40,5565.806,139.145,17.596,255
D3SF3,23,4049.306,176.057,30.51,255
D3SF4,52,5877.028,113.02,16.013,255
D3SF5,59,5566.028,94.339,8.392,255
D3SF6,72,6018.389,83.589,9.593,255
D3SF7,78,5040.667,64.624,7.917,255
D3SF8,118,4440.667,37.633,10.002,255
D3SF9,132,3911.833,29.635,4.753,255
D4C1,44,5326.667,121.061,13.976,255
D4C10,158,3575.278,22.628,2.74,255
D4C11,220,3956.639,17.985,1.678,255
D4C12,157,2497.917,15.91,1.656,255
D4C2,39,4693.5,120.346,7.529,255
D4C3,33,4592.889,139.178,12.075,255
D4C4,35,5812.278,166.065,11.664,255
D4C5,32,4123.472,128.859,12.613,255
D4C6,38,3101.778,81.626,7.981,255
D4C7,25,3951.139,158.046,12.404,255
D4C8,34,5039.167,148.211,9.928,255
D4C9,228,6526.917,28.627,3.24,255
D4SF1,57,7445,130.614,17.215,255
D4SF10,207,5761.167,27.832,4.805,255
D4SF11,391,5525.944,14.133,2.133,255
D4SF12,344,4308.111,12.524,1.413,255
D4SF2,34,6950.444,204.425,19.231,255
D4SF3,47,7615.278,162.027,12.945,255
D4SF4,92,6448,70.087,11.445,255
D4SF5,43,4038.028,93.908,11.582,255
D4SF6,38,4107.583,108.094,18.83,255
D4SF7,71,12009.778,169.152,21.405,255
D4SF8,76,9547.139,125.62,22.762,255
D4SF9,365,8457.5,23.171,4.614,255
D5C1,62,3871.944,62.451,7.249,255
D5C10,108,3331.667,30.849,3.117,255
D5C11,274,8020.333,29.271,2.983,255
D5C12,316,7042.306,22.286,2.749,255
D5C2,42,8450.861,201.211,13.497,255
D5C3,41,5840.417,142.449,10.087,255
D5C4,64,7282.083,113.783,17.191,255
D5C5,29,3912.833,134.925,8.385,255
D5C6,41,7481.417,182.474,11.781,255
D5C7,52,4724.278,90.851,10.092,255
D5C8,36,5432.222,150.895,9.378,255
D5C9,612,11096.5,18.132,6.376,255
D5SF1,61,7947.083,130.28,10.145,255
D5SF10,486,10769.25,22.159,5.47,255
D5SF11,802,13725.056,17.114,6.991,255
D5SF12,476,11175.972,23.479,7.876,255
D5SF2,60,11739.139,195.652,19.119,255
D5SF3,61,9781.917,160.359,14.805,255
D5SF4,100,10406.278,104.063,13.75,255
D5SF5,50,4948.306,98.966,11.318,255
D5SF6,32,7911.583,247.237,16.753,255
D5SF7,90,12426,138.067,17.909,255
D5SF8,110,7523.194,68.393,14.589,255
D5SF9,238,5412.306,22.741,3.991,255
E2Ca,99,6948.583,70.188,11.261,255
E2Cb,43,2793.639,64.968,7.154,255
E2Cc,35,4210.75,120.307,7.413,255
E2Cd,15,4139.25,275.95,21.949,255
E2Ce,162,4542.167,28.038,4.271,255
E2Cf,375,5839.694,15.573,2.076,255
E2SFb,44,7564.111,171.912,9.305,255
E2SFa,18,5759.389,319.966,14.404,255
E2SFc,26,3829.306,147.281,8.825,255
E2SFd,185,4055.444,21.921,8.438,255
E2SFe,303,6668.861,22.009,2.419,255
E2SFf,211,6418.444,30.419,2.603,255
E3C1,45,4712.778,104.728,9.418,255
E3C10,73,1441.583,19.748,2.461,255
E3C11,146,2788.944,19.102,3.376,255
E3C12,246,5631.139,22.891,5.059,255
E3C2,15,3375.75,225.05,9.716,255
E3C3,27,4475.667,165.765,11.697,255
E3C4,47,6698.917,142.53,9.492,255
E3C5,39,6899.139,176.901,15.208,255
E3C6,44,6224.722,141.471,12.738,255
E3C7,36,8731.722,242.548,28.585,255
E3C8,14,4522.555,323.04,16.784,255
E3C9,209,5188.111,24.823,3.57,255
E3SF1,46,7903.694,171.819,17.054,255
E3SF10,315,8211.083,26.067,5.596,255
E3SF11,348,7003.5,20.125,4.975,255
E3SF12,444,8209.944,18.491,5.111,255
E3SF2,34,6195.555,182.222,10.417,255
E3SF3,55,11324.472,205.899,16.04,255
E3SF4,55,5834.444,106.081,14.978,255
E3SF5,27,5688.5,210.685,14.488,255
E3SF6,28,5611.833,200.423,20.726,255
E3SF7,39,6307.611,161.734,16.041,255
E3SF8,46,6097,132.543,10.781,255
E3SF9,356,5974.75,16.783,3.197,255
E5C5,31,5106.611,164.729,15.504,255
X1Ca,21,4175.611,198.839,14.165,255
X1Cb,17,4297.722,252.807,13.231,255
X1Cc,29,3361.472,115.913,11.388,255
X1Cd,33,3424.75,103.78,8.664,255
X1Ce,189,6332.75,33.507,6.201,255
X1Cf,212,5859.306,27.638,3.452,255
X1SFa,18,3052.833,169.602,14.907,255
X1SFb,90,10448.611,116.096,21.414,255
X1SFc,220,5887.5,26.761,4.176,255
X4C1,41,1417.25,34.567,6.476,255
X4C10,280,6102.5,21.795,4.705,255
X4C11,144,4132.167,28.696,3.311,255
X4C12,155,3496.639,22.559,2.674,255
X4C2,16,2776.833,173.552,8.994,255
X4C3,28,3069.889,109.639,10.155,255
X4C4,26,2728.667,104.949,8.372,255
